IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.59.133,2082,2082,false,SIN,Asia Pacific,Singapore,167,8.48
47.236.144.196,2087,2087,true,SIN,Asia Pacific,Singapore,144,8.48
47.245.56.121,2052,2052,false,LAX,North America,Los Angeles,181,8.48
47.74.15.80,8080,8080,false,LAX,North America,Los Angeles,181,8.48
47.245.14.216,2086,2086,false,LAX,North America,Los Angeles,179,8.48
47.74.49.62,2052,2052,false,LAX,North America,Los Angeles,191,8.47
47.245.54.140,2087,2087,true,NRT,Asia Pacific,Tokyo,152,8.47
47.91.23.146,8443,8443,true,LAX,North America,Los Angeles,224,8.47
47.236.11.84,2082,2082,false,SIN,Asia Pacific,Singapore,46,8.47
47.236.7.206,2053,2053,true,SIN,Asia Pacific,Singapore,58,8.47
47.91.14.69,2083,2083,true,LAX,North America,Los Angeles,175,8.47
8.222.193.208,80,80,false,SIN,Asia Pacific,Singapore,4,8.47
8.222.146.222,2053,2053,true,SIN,Asia Pacific,Singapore,50,8.46
8.219.153.44,8443,8443,true,SIN,Asia Pacific,Singapore,81,8.46
47.245.90.176,2083,2083,true,SIN,Asia Pacific,Singapore,62,8.46
47.91.22.209,8880,8880,false,NRT,Asia Pacific,Tokyo,77,8.46
47.236.144.196,2053,2053,true,SIN,Asia Pacific,Singapore,199,8.46
47.245.37.89,2083,2083,true,LAX,North America,Los Angeles,305,8.46
8.218.143.10,2053,2053,true,HKG,Asia Pacific,Hong Kong,112,8.46
47.74.13.200,2095,2095,false,LAX,North America,Los Angeles,182,8.45
8.222.202.163,2096,2096,true,SIN,Asia Pacific,Singapore,41,8.45
47.245.57.109,8880,8880,false,SIN,Asia Pacific,Singapore,156,8.45
47.245.113.12,8880,8880,false,SIN,Asia Pacific,Singapore,5,8.45
47.245.34.36,8443,8443,true,LAX,North America,Los Angeles,282,8.45
47.245.57.38,2095,2095,false,HKG,Asia Pacific,Hong Kong,157,8.45
8.219.103.57,2052,2052,false,SIN,Asia Pacific,Singapore,19,8.45
47.74.27.211,2096,2096,true,NRT,Asia Pacific,Tokyo,143,8.45
47.74.15.80,2095,2095,false,LAX,North America,Los Angeles,175,8.45
47.91.21.149,2086,0,false,LAX,North America,Los Angeles,192,8.45
8.219.122.55,8880,8880,false,SIN,Asia Pacific,Singapore,5,8.45
47.245.118.70,2082,2082,false,SIN,Asia Pacific,Singapore,13,8.45
47.245.3.137,2087,2087,true,NRT,Asia Pacific,Tokyo,113,8.44
47.74.11.100,2083,2083,true,NRT,Asia Pacific,Tokyo,170,8.44
47.245.56.50,2086,2086,false,LAX,North America,Los Angeles,201,8.44
8.219.79.74,8880,8880,false,SIN,Asia Pacific,Singapore,8,8.44
8.219.90.32,8080,8080,false,SIN,Asia Pacific,Singapore,6,8.44
47.236.163.221,2096,2096,true,SIN,Asia Pacific,Singapore,85,8.43
47.74.18.121,8443,8443,true,LAX,North America,Los Angeles,357,8.43
47.74.5.99,8880,8880,false,LAX,North America,Los Angeles,170,8.43
47.245.11.118,2083,2083,true,LAX,North America,Los Angeles,284,8.43
8.209.214.157,8443,8443,true,NRT,Asia Pacific,Tokyo,125,8.42
47.91.1.199,2083,2083,true,LAX,North America,Los Angeles,217,8.42
8.219.84.214,443,443,true,SIN,Asia Pacific,Singapore,167,8.42
47.74.26.196,80,80,false,HKG,Asia Pacific,Hong Kong,161,8.42
8.218.85.128,2052,2052,false,HKG,Asia Pacific,Hong Kong,82,8.42
47.245.80.142,8880,8880,false,SIN,Asia Pacific,Singapore,11,8.42
47.236.19.51,80,80,false,SIN,Asia Pacific,Singapore,20,8.42
47.245.107.174,8880,8880,false,SIN,Asia Pacific,Singapore,4,8.42
8.219.100.155,8443,8443,true,SIN,Asia Pacific,Singapore,105,8.42
47.236.165.25,8443,8443,true,SIN,Asia Pacific,Singapore,89,8.42
47.74.43.229,8880,8880,false,HKG,Asia Pacific,Hong Kong,157,8.41
8.219.248.47,2053,2053,true,SIN,Asia Pacific,Singapore,132,8.41
47.236.11.84,8443,8443,true,SIN,Asia Pacific,Singapore,89,8.41
47.236.87.206,2095,2095,false,SIN,Asia Pacific,Singapore,34,8.41
47.236.169.236,2095,2095,false,SIN,Asia Pacific,Singapore,33,8.41
47.74.3.2,8880,8880,false,HKG,Asia Pacific,Hong Kong,141,8.40
47.74.18.144,8080,8080,false,NRT,Asia Pacific,Tokyo,73,8.40
47.74.15.117,8080,8080,false,LAX,North America,Los Angeles,172,8.40
8.222.253.235,8880,8880,false,SIN,Asia Pacific,Singapore,3,8.40
47.245.11.216,2086,2086,false,LAX,North America,Los Angeles,187,8.40
47.245.39.49,2087,2087,true,HKG,Asia Pacific,Hong Kong,278,8.40
8.219.112.75,2087,2087,true,SIN,Asia Pacific,Singapore,124,8.40
8.219.170.223,2087,2087,true,SIN,Asia Pacific,Singapore,109,8.40
47.236.170.54,2052,2052,false,SIN,Asia Pacific,Singapore,49,8.39
47.91.1.199,8443,8443,true,LAX,North America,Los Angeles,224,8.39
47.236.166.131,2082,2082,false,SIN,Asia Pacific,Singapore,12,8.39
8.209.248.161,2087,2087,true,LAX,North America,Los Angeles,222,8.39
47.91.19.249,80,0,false,LAX,North America,Los Angeles,174,8.39
47.74.27.94,2087,2087,true,LAX,North America,Los Angeles,232,8.39
47.236.175.189,8080,8080,false,SIN,Asia Pacific,Singapore,11,8.39
47.245.118.70,2096,2096,true,SIN,Asia Pacific,Singapore,29,8.39
47.245.12.38,80,80,false,LAX,North America,Los Angeles,182,8.39
8.219.77.222,2087,2087,true,SIN,Asia Pacific,Singapore,85,8.39
8.222.244.123,8880,8880,false,SIN,Asia Pacific,Singapore,59,8.39
47.74.27.211,2087,2087,true,NRT,Asia Pacific,Tokyo,127,8.39
47.74.13.94,2095,2095,false,NRT,Asia Pacific,Tokyo,77,8.39
47.245.9.121,80,80,false,LAX,North America,Los Angeles,187,8.39
8.219.215.12,2052,2052,false,SIN,Asia Pacific,Singapore,14,8.39
8.222.214.231,2083,2083,true,SIN,Asia Pacific,Singapore,120,8.38
8.219.134.63,8080,8080,false,SIN,Asia Pacific,Singapore,3,8.38
47.91.21.107,8880,8880,false,LAX,North America,Los Angeles,201,8.38
47.236.97.254,2086,2086,false,SIN,Asia Pacific,Singapore,15,8.38
8.219.124.227,80,80,false,SIN,Asia Pacific,Singapore,12,8.38
8.209.243.137,8880,8880,false,LAX,North America,Los Angeles,182,8.38
8.209.248.161,2096,2096,true,LAX,North America,Los Angeles,207,8.38
8.222.249.190,2096,2096,true,SIN,Asia Pacific,Singapore,128,8.38
47.74.11.251,2096,2096,true,LAX,North America,Los Angeles,271,8.38
47.245.41.169,2095,2095,false,LAX,North America,Los Angeles,189,8.38
47.236.172.41,8443,8443,true,SIN,Asia Pacific,Singapore,107,8.37
8.219.134.117,2095,2095,false,SIN,Asia Pacific,Singapore,13,8.37
47.245.7.212,8443,8443,true,NRT,Asia Pacific,Tokyo,168,8.37
8.222.221.109,2095,2095,false,SIN,Asia Pacific,Singapore,23,8.37
8.218.211.17,2086,2086,false,HKG,Asia Pacific,Hong Kong,65,8.37
47.74.13.239,2087,2087,true,NRT,Asia Pacific,Tokyo,140,8.37
8.218.119.115,2082,2082,false,HKG,Asia Pacific,Hong Kong,48,8.37
47.236.121.23,2083,2083,true,SIN,Asia Pacific,Singapore,143,8.36
8.219.228.186,2053,2053,true,SIN,Asia Pacific,Singapore,125,8.36
8.219.72.50,2053,2053,true,SIN,Asia Pacific,Singapore,51,8.36
47.91.29.108,80,80,false,HKG,Asia Pacific,Hong Kong,139,8.36
8.209.240.229,2053,2053,true,NRT,Asia Pacific,Tokyo,80,8.36
47.236.76.199,8880,8880,false,SIN,Asia Pacific,Singapore,16,8.36
47.236.161.155,2086,2086,false,SIN,Asia Pacific,Singapore,34,8.36
47.74.2.97,2052,2052,false,LAX,North America,Los Angeles,187,8.35
47.74.50.249,8880,8880,false,LAX,North America,Los Angeles,179,8.35
47.245.29.126,8880,8880,false,HKG,Asia Pacific,Hong Kong,159,8.35
8.222.224.163,2053,2053,true,SIN,Asia Pacific,Singapore,63,8.35
8.219.107.135,8880,8880,false,SIN,Asia Pacific,Singapore,5,8.35
47.236.163.221,8443,8443,true,SIN,Asia Pacific,Singapore,115,8.34
8.222.212.116,2053,2053,true,SIN,Asia Pacific,Singapore,58,8.34
47.74.10.135,2082,2082,false,LAX,North America,Los Angeles,180,8.34
8.219.122.55,8880,8880,false,SIN,Asia Pacific,Singapore,10,8.34
8.219.237.250,2083,2083,true,SIN,Asia Pacific,Singapore,165,8.34
47.74.43.24,80,80,false,LAX,North America,Los Angeles,188,8.34
47.236.116.208,2082,2082,false,SIN,Asia Pacific,Singapore,20,8.34
47.236.193.208,80,80,false,SIN,Asia Pacific,Singapore,21,8.34
8.222.236.229,2083,2083,true,SIN,Asia Pacific,Singapore,50,8.34
47.74.14.85,2052,2052,false,LAX,North America,Los Angeles,172,8.34
47.74.11.251,2095,2095,false,LAX,North America,Los Angeles,174,8.34
47.236.12.73,8443,8443,true,SIN,Asia Pacific,Singapore,105,8.34
47.74.43.229,2082,2082,false,HKG,Asia Pacific,Hong Kong,163,8.33
8.209.240.229,2052,2052,false,NRT,Asia Pacific,Tokyo,74,8.33
8.219.220.122,8880,8880,false,SIN,Asia Pacific,Singapore,7,8.33
47.236.130.95,2083,2083,true,SIN,Asia Pacific,Singapore,235,8.33
8.219.137.50,80,80,false,SIN,Asia Pacific,Singapore,13,8.33
47.74.12.139,2082,2082,false,LAX,North America,Los Angeles,181,8.33
47.245.8.156,8443,8443,true,LAX,North America,Los Angeles,224,8.33
8.218.149.193,2052,2052,false,HKG,Asia Pacific,Hong Kong,60,8.33
47.242.232.14,2096,2096,true,HKG,Asia Pacific,Hong Kong,71,8.33
47.74.18.144,2095,2095,false,NRT,Asia Pacific,Tokyo,77,8.33
8.222.212.172,8880,8880,false,SIN,Asia Pacific,Singapore,15,8.32
8.222.193.65,2095,2095,false,SIN,Asia Pacific,Singapore,6,8.32
47.245.14.216,2052,2052,false,LAX,North America,Los Angeles,172,8.32
8.209.243.99,2083,2083,true,NRT,Asia Pacific,Tokyo,99,8.32
47.245.56.29,2095,2095,false,NRT,Asia Pacific,Tokyo,77,8.32
8.210.107.246,2086,2086,false,HKG,Asia Pacific,Hong Kong,42,8.32
47.236.121.23,2096,2096,true,SIN,Asia Pacific,Singapore,149,8.32
47.74.32.94,2083,2083,true,NRT,Asia Pacific,Tokyo,107,8.32
47.74.27.94,2095,2095,false,LAX,North America,Los Angeles,185,8.32
47.236.193.208,2082,2082,false,SIN,Asia Pacific,Singapore,22,8.31
8.219.113.232,2053,2053,true,SIN,Asia Pacific,Singapore,134,8.31
47.74.41.136,2053,2053,true,NRT,Asia Pacific,Tokyo,101,8.31
47.236.169.15,2096,2096,true,SIN,Asia Pacific,Singapore,125,8.31
47.236.87.246,2087,2087,true,SIN,Asia Pacific,Singapore,119,8.31
47.243.173.187,2083,2083,true,HKG,Asia Pacific,Hong Kong,39,8.31
8.222.210.182,2095,2095,false,SIN,Asia Pacific,Singapore,10,8.31
47.74.3.2,2053,2053,true,LAX,North America,Los Angeles,291,8.30
8.219.63.66,2082,2082,false,SIN,Asia Pacific,Singapore,8,8.30
47.91.10.228,2083,2083,true,HKG,Asia Pacific,Hong Kong,199,8.30
8.219.178.101,8880,8880,false,SIN,Asia Pacific,Singapore,4,8.30
8.219.213.133,2052,2052,false,SIN,Asia Pacific,Singapore,10,8.30
47.236.97.111,2082,2082,false,SIN,Asia Pacific,Singapore,10,8.30
47.74.13.66,2053,2053,true,HKG,Asia Pacific,Hong Kong,273,8.30
8.219.245.187,2087,2087,true,SIN,Asia Pacific,Singapore,134,8.30
8.219.179.34,2052,2052,false,SIN,Asia Pacific,Singapore,8,8.29
8.209.214.157,2087,2087,true,NRT,Asia Pacific,Tokyo,83,8.29
47.245.33.163,2095,2095,false,NRT,Asia Pacific,Tokyo,77,8.29
47.74.43.24,2052,2052,false,LAX,North America,Los Angeles,180,8.29
8.219.134.117,2083,2083,true,SIN,Asia Pacific,Singapore,95,8.29
47.74.11.251,2083,2083,true,LAX,North America,Los Angeles,329,8.29
47.236.123.133,2053,2053,true,SIN,Asia Pacific,Singapore,90,8.29
47.91.15.247,2087,2087,true,LAX,North America,Los Angeles,250,8.29
8.219.90.87,2095,2095,false,SIN,Asia Pacific,Singapore,13,8.29
8.219.12.152,2095,2095,false,SIN,Asia Pacific,Singapore,34,8.29
8.209.241.128,2095,2095,false,LAX,North America,Los Angeles,176,8.29
8.219.172.128,8443,8443,true,SIN,Asia Pacific,Singapore,161,8.29
47.245.56.121,80,80,false,LAX,North America,Los Angeles,180,8.28
47.245.118.197,2083,2083,true,SIN,Asia Pacific,Singapore,79,8.28
47.91.14.62,8880,8880,false,LAX,North America,Los Angeles,184,8.28
47.245.34.140,2086,2086,false,LAX,North America,Los Angeles,182,8.28
47.74.11.100,2086,2086,false,NRT,Asia Pacific,Tokyo,72,8.28
47.74.10.135,2052,2052,false,SIN,Asia Pacific,Singapore,155,8.28
8.219.178.9,8080,8080,false,SIN,Asia Pacific,Singapore,6,8.28
8.219.161.129,8443,8443,true,SIN,Asia Pacific,Singapore,70,8.28
8.219.141.174,2052,2052,false,SIN,Asia Pacific,Singapore,13,8.28
8.219.201.245,2095,2095,false,SIN,Asia Pacific,Singapore,24,8.28
8.219.67.133,2095,2095,false,SIN,Asia Pacific,Singapore,3,8.28
8.219.139.13,2082,2082,false,SIN,Asia Pacific,Singapore,5,8.27
47.91.21.149,2086,2086,false,LAX,North America,Los Angeles,190,8.27
8.219.245.187,2083,2083,true,SIN,Asia Pacific,Singapore,170,8.27
8.209.222.232,2053,2053,true,HKG,Asia Pacific,Hong Kong,150,8.27
47.236.171.20,2096,2096,true,SIN,Asia Pacific,Singapore,122,8.27
47.236.93.176,8080,8080,false,SIN,Asia Pacific,Singapore,27,8.27
47.74.22.171,80,80,false,LAX,North America,Los Angeles,178,8.27
47.236.7.13,2052,2052,false,SIN,Asia Pacific,Singapore,34,8.26
8.222.253.235,2082,2082,false,SIN,Asia Pacific,Singapore,7,8.26
47.91.23.146,2096,2096,true,HKG,Asia Pacific,Hong Kong,239,8.26
8.219.179.34,2053,2053,true,SIN,Asia Pacific,Singapore,123,8.26
8.219.103.57,80,80,false,SIN,Asia Pacific,Singapore,6,8.26
47.91.19.249,2096,2096,true,LAX,North America,Los Angeles,293,8.26
8.219.60.54,2083,2083,true,SIN,Asia Pacific,Singapore,80,8.26
8.217.250.222,2083,2083,true,HKG,Asia Pacific,Hong Kong,90,8.26
47.245.52.240,8443,8443,true,NRT,Asia Pacific,Tokyo,91,8.26
8.222.184.198,2082,2082,false,SIN,Asia Pacific,Singapore,10,8.26
47.91.25.66,2053,2053,true,LAX,North America,Los Angeles,187,8.26
8.209.200.73,2095,2095,false,NRT,Asia Pacific,Tokyo,74,8.25
47.245.55.235,80,80,false,NRT,Asia Pacific,Tokyo,82,8.25
47.236.169.164,2087,2087,true,SIN,Asia Pacific,Singapore,85,8.25
8.222.169.182,2096,2096,true,SIN,Asia Pacific,Singapore,8,8.25
8.209.252.13,8880,8880,false,LAX,North America,Los Angeles,191,8.25
8.219.122.55,2083,2083,true,SIN,Asia Pacific,Singapore,119,8.25
47.245.10.164,80,80,false,LAX,North America,Los Angeles,184,8.25
47.74.12.139,8880,8880,false,LAX,North America,Los Angeles,208,8.25
47.245.87.167,2052,2052,false,SIN,Asia Pacific,Singapore,14,8.25
47.74.11.100,2096,2096,true,NRT,Asia Pacific,Tokyo,136,8.25
47.245.102.156,8080,8080,false,SIN,Asia Pacific,Singapore,10,8.24
8.219.72.50,2096,2096,true,SIN,Asia Pacific,Singapore,98,8.24
8.219.151.193,2086,2086,false,SIN,Asia Pacific,Singapore,7,8.24
8.222.236.229,80,80,false,SIN,Asia Pacific,Singapore,8,8.24
8.222.244.192,8880,8880,false,SIN,Asia Pacific,Singapore,6,8.24
47.74.52.104,2053,2053,true,LAX,North America,Los Angeles,291,8.24
47.245.41.69,2087,2087,true,HKG,Asia Pacific,Hong Kong,171,8.24
47.236.193.208,80,80,false,SIN,Asia Pacific,Singapore,17,8.24
47.74.26.196,8080,8080,false,HKG,Asia Pacific,Hong Kong,159,8.24
8.219.111.175,2053,2053,true,SIN,Asia Pacific,Singapore,99,8.24
8.222.213.221,2052,2052,false,SIN,Asia Pacific,Singapore,13,8.24
8.217.49.34,8080,8080,false,HKG,Asia Pacific,Hong Kong,43,8.24
8.222.133.247,8880,8880,false,SIN,Asia Pacific,Singapore,7,8.24
8.222.214.231,2053,2053,true,SIN,Asia Pacific,Singapore,118,8.23
47.245.42.210,2087,2087,true,LAX,North America,Los Angeles,420,8.23
47.74.15.120,80,80,false,LAX,North America,Los Angeles,183,8.23
47.245.54.197,8080,8080,false,LAX,North America,Los Angeles,183,8.23
47.74.10.135,2053,2053,true,LAX,North America,Los Angeles,214,8.23
47.245.57.109,2052,2052,false,HKG,Asia Pacific,Hong Kong,168,8.23
8.210.156.6,443,443,true,HKG,Asia Pacific,Hong Kong,96,8.23
8.218.2.181,2087,2087,true,HKG,Asia Pacific,Hong Kong,81,8.22
8.222.210.182,2052,2052,false,SIN,Asia Pacific,Singapore,18,8.22
8.222.226.15,2052,2052,false,SIN,Asia Pacific,Singapore,6,8.22
47.74.5.233,2096,2096,true,LAX,North America,Los Angeles,240,8.22
47.236.121.23,2087,2087,true,SIN,Asia Pacific,Singapore,105,8.22
47.236.144.156,2087,2087,true,SIN,Asia Pacific,Singapore,90,8.22
47.74.42.17,2052,2052,false,LAX,North America,Los Angeles,189,8.22
47.91.22.209,2086,2086,false,NRT,Asia Pacific,Tokyo,74,8.21
47.74.13.94,2053,2053,true,NRT,Asia Pacific,Tokyo,165,8.21
47.91.23.146,8880,8880,false,LAX,North America,Los Angeles,175,8.21
47.245.105.224,80,80,false,SIN,Asia Pacific,Singapore,18,8.21
47.236.93.176,2087,2087,true,SIN,Asia Pacific,Singapore,177,8.21
47.74.37.50,8443,8443,true,LAX,North America,Los Angeles,274,8.21
47.236.166.84,2082,2082,false,SIN,Asia Pacific,Singapore,18,8.21
8.219.113.27,2053,2053,true,SIN,Asia Pacific,Singapore,47,8.21
8.209.240.229,8443,8443,true,NRT,Asia Pacific,Tokyo,113,8.21
47.74.42.111,2096,2096,true,NRT,Asia Pacific,Tokyo,133,8.20
8.210.174.156,2052,2052,false,HKG,Asia Pacific,Hong Kong,59,8.20
47.236.76.199,8080,8080,false,SIN,Asia Pacific,Singapore,18,8.20
47.236.180.51,2095,2095,false,SIN,Asia Pacific,Singapore,6,8.20
8.218.105.223,2095,2095,false,HKG,Asia Pacific,Hong Kong,87,8.20
8.217.239.116,2087,2087,true,HKG,Asia Pacific,Hong Kong,116,8.20
47.236.93.176,2083,2083,true,SIN,Asia Pacific,Singapore,99,8.20
8.222.238.141,8080,8080,false,SIN,Asia Pacific,Singapore,7,8.20
47.74.2.97,2053,2053,true,LAX,North America,Los Angeles,280,8.20
47.236.145.180,2053,2053,true,SIN,Asia Pacific,Singapore,141,8.19
47.236.147.146,2052,2052,false,SIN,Asia Pacific,Singapore,24,8.19
47.236.150.13,8880,8880,false,SIN,Asia Pacific,Singapore,16,8.19
8.218.119.115,2087,2087,true,HKG,Asia Pacific,Hong Kong,94,8.19
47.74.13.66,8443,8443,true,LAX,North America,Los Angeles,328,8.19
47.236.144.208,8880,8880,false,SIN,Asia Pacific,Singapore,20,8.18
8.222.237.131,2086,2086,false,SIN,Asia Pacific,Singapore,6,8.18
8.222.215.228,80,80,false,SIN,Asia Pacific,Singapore,69,8.18
47.236.119.253,2086,2086,false,SIN,Asia Pacific,Singapore,12,8.18
47.245.37.12,2052,2052,false,LAX,North America,Los Angeles,175,8.18
47.245.114.163,2082,2082,false,SIN,Asia Pacific,Singapore,4,8.18
8.222.249.190,2087,2087,true,SIN,Asia Pacific,Singapore,78,8.18
47.245.10.156,2053,2053,true,LAX,North America,Los Angeles,223,8.18
47.74.46.84,2052,2052,false,LAX,North America,Los Angeles,173,8.18
8.222.211.16,8880,8880,false,SIN,Asia Pacific,Singapore,5,8.18
8.219.157.97,2083,2083,true,SIN,Asia Pacific,Singapore,104,8.18
47.236.97.90,2095,2095,false,SIN,Asia Pacific,Singapore,21,8.18
47.236.116.182,2096,2096,true,SIN,Asia Pacific,Singapore,138,8.18
47.236.130.95,2095,2095,false,SIN,Asia Pacific,Singapore,6,8.17
47.74.11.48,2083,2083,true,LAX,North America,Los Angeles,238,8.17
8.219.122.96,2052,2052,false,SIN,Asia Pacific,Singapore,6,8.17
47.242.202.230,8443,8443,true,HKG,Asia Pacific,Hong Kong,51,8.17
8.219.159.232,80,80,false,SIN,Asia Pacific,Singapore,10,8.17
8.222.174.108,8443,8443,true,SIN,Asia Pacific,Singapore,66,8.17
8.218.211.17,80,80,false,HKG,Asia Pacific,Hong Kong,44,8.16
8.209.240.229,2096,2096,true,NRT,Asia Pacific,Tokyo,77,8.16
47.245.52.240,2082,2082,false,NRT,Asia Pacific,Tokyo,79,8.16
8.219.186.189,2086,2086,false,SIN,Asia Pacific,Singapore,20,8.16
47.91.25.66,2052,2052,false,LAX,North America,Los Angeles,188,8.16
8.219.122.96,80,80,false,SIN,Asia Pacific,Singapore,9,8.16
47.91.21.107,2082,2082,false,LAX,North America,Los Angeles,179,8.16
8.219.230.254,2082,2082,false,SIN,Asia Pacific,Singapore,19,8.16
8.219.61.52,8443,8443,true,SIN,Asia Pacific,Singapore,35,8.16
47.245.39.28,2052,2052,false,NRT,Asia Pacific,Tokyo,76,8.16
47.236.83.239,8080,8080,false,SIN,Asia Pacific,Singapore,12,8.16
47.236.94.113,2082,2082,false,SIN,Asia Pacific,Singapore,8,8.16
8.210.245.224,8443,8443,true,HKG,Asia Pacific,Hong Kong,54,8.16
47.74.15.120,8080,8080,false,LAX,North America,Los Angeles,187,8.15
8.209.215.247,8880,8880,false,NRT,Asia Pacific,Tokyo,81,8.15
47.74.2.97,2083,2083,true,LAX,North America,Los Angeles,314,8.15
8.219.74.35,2096,2096,true,SIN,Asia Pacific,Singapore,53,8.15
8.217.49.34,2096,2096,true,HKG,Asia Pacific,Hong Kong,82,8.15
8.222.197.251,8443,8443,true,SIN,Asia Pacific,Singapore,89,8.15
8.219.111.147,2096,2096,true,SIN,Asia Pacific,Singapore,114,8.15
47.74.52.188,2053,2053,true,LAX,North America,Los Angeles,298,8.15
8.219.185.191,8443,8443,true,SIN,Asia Pacific,Singapore,97,8.15
8.222.202.163,8880,8880,false,SIN,Asia Pacific,Singapore,5,8.15
47.236.119.253,8880,8880,false,SIN,Asia Pacific,Singapore,10,8.15
8.219.86.200,8080,8080,false,SIN,Asia Pacific,Singapore,5,8.15
47.236.166.84,2053,2053,true,SIN,Asia Pacific,Singapore,68,8.15
47.245.11.216,8443,8443,true,HKG,Asia Pacific,Hong Kong,156,8.15
8.218.3.12,2096,2096,true,HKG,Asia Pacific,Hong Kong,73,8.15
47.245.34.140,2096,2096,true,LAX,North America,Los Angeles,290,8.14
8.219.191.40,80,80,false,SIN,Asia Pacific,Singapore,11,8.14
47.74.14.85,8443,8443,true,HKG,Asia Pacific,Hong Kong,208,8.14
47.245.52.165,80,80,false,LAX,North America,Los Angeles,175,8.14
8.218.243.95,8880,8880,false,HKG,Asia Pacific,Hong Kong,37,8.14
47.245.57.38,2083,2083,true,HKG,Asia Pacific,Hong Kong,212,8.14
47.236.168.17,2053,2053,true,SIN,Asia Pacific,Singapore,110,8.13
47.245.34.140,80,80,false,LAX,North America,Los Angeles,187,8.13
47.245.105.224,2096,2096,true,SIN,Asia Pacific,Singapore,99,8.13
47.236.99.131,80,80,false,SIN,Asia Pacific,Singapore,24,8.13
47.74.5.99,2053,2053,true,LAX,North America,Los Angeles,277,8.13
47.245.14.160,2086,2086,false,LAX,North America,Los Angeles,178,8.13
8.222.208.83,8880,8880,false,SIN,Asia Pacific,Singapore,7,8.13
47.236.94.113,2053,2053,true,SIN,Asia Pacific,Singapore,143,8.13
8.218.8.142,443,443,true,HKG,Asia Pacific,Hong Kong,62,8.13
47.74.43.24,2083,2083,true,LAX,North America,Los Angeles,246,8.13
8.222.248.188,80,80,false,SIN,Asia Pacific,Singapore,8,8.12
47.236.147.146,2095,2095,false,SIN,Asia Pacific,Singapore,20,8.12
47.236.94.113,2086,2086,false,SIN,Asia Pacific,Singapore,13,8.12
47.74.11.9,2053,2053,true,NRT,Asia Pacific,Tokyo,224,8.12
47.243.173.187,2053,2053,true,HKG,Asia Pacific,Hong Kong,43,8.12
47.236.147.146,2086,2086,false,SIN,Asia Pacific,Singapore,4,8.12
47.74.2.97,2095,2095,false,LAX,North America,Los Angeles,181,8.12
8.222.212.219,8443,8443,true,SIN,Asia Pacific,Singapore,74,8.12
47.236.193.208,8080,8080,false,SIN,Asia Pacific,Singapore,13,8.12
47.91.16.198,80,80,false,LAX,North America,Los Angeles,207,8.11
47.243.70.197,80,80,false,HKG,Asia Pacific,Hong Kong,41,8.11
47.91.21.149,80,80,false,LAX,North America,Los Angeles,175,8.11
47.245.53.50,2052,2052,false,LAX,North America,Los Angeles,183,8.11
47.245.33.56,8080,8080,false,NRT,Asia Pacific,Tokyo,84,8.11
47.74.16.67,80,80,false,LAX,North America,Los Angeles,177,8.11
8.219.200.145,2096,2096,true,SIN,Asia Pacific,Singapore,142,8.11
8.222.255.15,8080,8080,false,SIN,Asia Pacific,Singapore,7,8.11
47.91.2.5,2087,2087,true,NRT,Asia Pacific,Tokyo,174,8.11
47.245.14.160,2096,2096,true,LAX,North America,Los Angeles,305,8.11
8.210.151.69,80,80,false,HKG,Asia Pacific,Hong Kong,45,8.11
47.245.30.208,8080,8080,false,LAX,North America,Los Angeles,185,8.10
8.219.121.87,2096,2096,true,SIN,Asia Pacific,Singapore,74,8.10
47.74.26.196,8880,8880,false,HKG,Asia Pacific,Hong Kong,151,8.10
47.245.32.215,2086,2086,false,LAX,North America,Los Angeles,179,8.10
47.245.52.153,2095,2095,false,NRT,Asia Pacific,Tokyo,81,8.10
8.218.48.92,8880,8880,false,HKG,Asia Pacific,Hong Kong,52,8.10
8.219.112.75,2086,2086,false,SIN,Asia Pacific,Singapore,14,8.10
8.217.239.116,8880,8880,false,HKG,Asia Pacific,Hong Kong,46,8.10
8.219.73.188,8880,8880,false,SIN,Asia Pacific,Singapore,7,8.10
47.236.10.100,8080,8080,false,SIN,Asia Pacific,Singapore,28,8.10
47.74.5.99,80,80,false,LAX,North America,Los Angeles,185,8.10
8.219.63.66,80,80,false,SIN,Asia Pacific,Singapore,5,8.10
47.74.26.131,2082,2082,false,NRT,Asia Pacific,Tokyo,76,8.10
47.236.87.206,2052,2052,false,SIN,Asia Pacific,Singapore,36,8.09
47.245.52.240,8880,8880,false,NRT,Asia Pacific,Tokyo,76,8.09
47.74.43.24,2082,2082,false,LAX,North America,Los Angeles,180,8.09
8.222.224.17,2096,2096,true,SIN,Asia Pacific,Singapore,44,8.09
47.74.7.51,8443,8443,true,NRT,Asia Pacific,Tokyo,149,8.09
47.245.33.56,2086,2086,false,NRT,Asia Pacific,Tokyo,80,8.09
47.245.40.161,2082,2082,false,NRT,Asia Pacific,Tokyo,82,8.09
47.245.4.22,2053,2053,true,HKG,Asia Pacific,Hong Kong,149,8.09
47.236.149.107,2083,2083,true,SIN,Asia Pacific,Singapore,71,8.09
47.236.172.95,2083,2083,true,SIN,Asia Pacific,Singapore,161,8.09
8.222.222.64,2052,2052,false,SIN,Asia Pacific,Singapore,7,8.09
8.209.200.73,2053,2053,true,NRT,Asia Pacific,Tokyo,76,8.09
8.219.196.24,2096,2096,true,SIN,Asia Pacific,Singapore,150,8.08
